algorithm,SpeciesPair,numberOfExactOG,totalOG,proportionOfExactOG,meanJI,sdJI,seJI
OFb,AthChi,11873,20722,0.57296593,0.656672475,0.420200707,0.002919046
OFb,AthCru,13159,20741,0.634443855,0.707837192,0.404676218,0.002809913
OFb,AthTar,8539,20718,0.412153683,0.505029168,0.443238379,0.003079381
OFb,AthAar,8786,20726,0.423911995,0.506361905,0.447868928,0.003110951
OFb,ChiCru,11842,20435,0.579495963,0.658346634,0.422252044,0.002953823
OFb,ChiTar,8172,20412,0.400352734,0.490671527,0.443534516,0.00310445
OFb,ChiAar,8354,20441,0.40868842,0.491732706,0.447074306,0.003127005
OFb,CruTar,8519,20463,0.416312369,0.508105335,0.443643542,0.003101341
OFb,CruAar,8677,20479,0.423702329,0.507571137,0.447076787,0.00312412
OFb,TarAar,6778,17526,0.386739701,0.481510581,0.439498482,0.003319831
OFd,AthChi,11836,20940,0.565234002,0.649806102,0.422718773,0.002921213
OFd,AthCru,13153,20965,0.627378965,0.70083595,0.408596433,0.002821936
OFd,AthTar,8499,20932,0.406029046,0.499115513,0.443684623,0.003066684
OFd,AthAar,8736,20929,0.417411248,0.500151144,0.448099241,0.003097419
OFd,ChiCru,11801,20750,0.568722892,0.647307667,0.426791845,0.002962832
OFd,ChiTar,8062,20726,0.388980025,0.479974873,0.443408752,0.00307997
OFd,ChiAar,8289,20719,0.400067571,0.484013826,0.446791903,0.003103994
OFd,CruTar,8473,20714,0.409047021,0.500994764,0.444220578,0.003086503
OFd,CruAar,8623,20720,0.416167954,0.500240784,0.447396056,0.003108116
OFd,TarAar,6706,17772,0.377335134,0.473073738,0.439101753,0.003293798
OFm,AthChi,11885,20837,0.570379613,0.654045914,0.42133011,0.002918804
OFm,AthCru,13184,20853,0.63223517,0.705785029,0.405824986,0.002810312
OFm,AthTar,8532,20839,0.409424636,0.502233025,0.443594173,0.003072893
OFm,AthAar,8780,20835,0.421406287,0.503795934,0.448107633,0.003104457
OFm,ChiCru,11837,20547,0.576093834,0.654836988,0.423665248,0.00295562
OFm,ChiTar,8136,20532,0.396259497,0.486864903,0.443543031,0.003095424
OFm,ChiAar,8331,20545,0.405500122,0.489019513,0.446866117,0.003117628
OFm,CruTar,8510,20563,0.413850119,0.505856876,0.443855017,0.003095265
OFm,CruAar,8658,20574,0.420822397,0.504835662,0.447112479,0.003117148
OFm,TarAar,6725,17675,0.380480905,0.475968908,0.439105822,0.003302855
ON,AthChi,9887,19223,0.51433179,0.622483926,0.415731083,0.002998485
ON,AthCru,11032,19226,0.573806304,0.670473151,0.405856305,0.002927034
ON,AthTar,7319,19223,0.38074182,0.490232521,0.431579799,0.003112795
ON,AthAar,7827,19220,0.40723205,0.5021104,0.438611146,0.003163756
ON,ChiCru,9843,18922,0.520188141,0.621144179,0.418913264,0.003045374
ON,ChiTar,6801,18922,0.359422894,0.467523674,0.43004324,0.003126285
ON,ChiAar,7252,18922,0.383257584,0.480851549,0.435981026,0.003169451
ON,CruTar,7267,19068,0.381109713,0.489924226,0.431994468,0.003128424
ON,CruAar,7721,19068,0.404919236,0.500992651,0.437989887,0.003171842
ON,TarAar,5976,16784,0.356053384,0.464872869,0.428458066,0.003307201
SPd,AthChi,12072,21821,0.553228541,0.636025607,0.432099365,0.002925138
SPd,AthCru,13477,21868,0.616288641,0.688952433,0.418390459,0.002829289
SPd,AthTar,8693,21706,0.400488344,0.491627927,0.448132732,0.003041703
SPd,AthAar,8730,21658,0.403084311,0.487292642,0.450977773,0.003064404
SPd,ChiCru,12045,21608,0.557432432,0.63686439,0.435444121,0.002962273
SPd,ChiTar,8270,21495,0.384740637,0.474090484,0.449507029,0.003065969
SPd,ChiAar,8322,21355,0.389697963,0.474987179,0.451132106,0.003087123
SPd,CruTar,8690,21390,0.40626461,0.496896415,0.448626044,0.003067461
SPd,CruAar,8637,21352,0.404505433,0.490098699,0.450233876,0.003081193
SPd,TarAar,6723,18127,0.370883213,0.471318135,0.443581996,0.003294663
SPm,AthChi,12101,21857,0.553644141,0.636383634,0.432099288,0.002922727
SPm,AthCru,13495,21905,0.616069391,0.688946251,0.418355003,0.002826658
SPm,AthTar,8694,21752,0.399687385,0.490777729,0.44808258,0.003038145
SPm,AthAar,8747,21695,0.403180456,0.487423026,0.451030853,0.00306215
SPm,ChiCru,12054,21632,0.55723003,0.637389982,0.435030724,0.002957819
SPm,ChiTar,8273,21530,0.384254529,0.473843165,0.449367095,0.003062522
SPm,ChiAar,8335,21390,0.389668069,0.474879869,0.451194737,0.003085025
SPm,CruTar,8696,21434,0.405710553,0.496434889,0.448573246,0.003063951
SPm,CruAar,8658,21392,0.40473074,0.490178792,0.450407011,0.003079495
SPm,TarAar,6723,18150,0.370413223,0.470898979,0.443554336,0.003292369
BR,AthChi,11289,21147,0.533834586,0.628279664,0.426557445,0.002933277
BR,AthCru,12789,21171,0.604081054,0.684808105,0.414131107,0.002846211
BR,AthTar,8251,21088,0.391265175,0.491339537,0.441922729,0.003043187
BR,AthAar,8154,21070,0.386995729,0.478838839,0.444547023,0.003062566
BR,ChiCru,11259,20917,0.538270306,0.626328216,0.430823931,0.00297886
BR,ChiTar,7703,20828,0.369838679,0.468236812,0.441282015,0.003057683
BR,ChiAar,7628,20794,0.366836587,0.459931215,0.442438976,0.003068205
BR,CruTar,8230,20862,0.394497172,0.493553566,0.442639714,0.00306459
BR,CruAar,8064,20841,0.38692961,0.480076004,0.443958351,0.003075268
BR,TarAar,6331,18108,0.349624475,0.456369556,0.43680451,0.003246025