spPair_program2,All,one_anc,diff_anc,Total,PropOne,oriATgenes_diff,combAvg_diff,newTotalOG,oriTotal
"('AthChi', 'OFb')",26361,14893,11468,26361,0.5649633928910133,11468,5829,20722,11468
"('AthCru', 'OFb')",26380,15451,10929,26380,0.5857088703563306,10929,5290,20741,10929
"('AthTar', 'OFb')",26357,12473,13884,26357,0.473232917251584,13884,8245,20718,13884
"('AthAar', 'OFb')",26365,12489,13876,26365,0.47369618812820025,13876,8237,20726,13876
"('ChiCru', 'OFb')",28514,14390,14124,28514,0.504664375394543,14124,6045,20435,14124
"('ChiTar', 'OFb')",28491,11864,16627,28491,0.41641220034396825,16627,8548,20412,16627
"('ChiAar', 'OFb')",28520,11894,16626,28520,0.41704067321178123,16626,8547,20441,16626
"('CruTar', 'OFb')",26929,12348,14581,26929,0.4585391213932935,14581,8115,20463,14581
"('CruAar', 'OFb')",26945,12396,14549,26945,0.4600482464279087,14549,8083,20479,14549
"('TarAar', 'OFb')",24975,10159,14816,24975,0.40676676676676676,14816,7367,17526,14816
"('AthChi', 'OFd')",26281,15005,11276,26281,0.5709447890110726,11276,5935,20940,11276
"('AthCru', 'OFd')",26306,15553,10753,26306,0.5912339390253174,10753,5412,20965,10753
"('AthTar', 'OFd')",26273,12538,13735,26273,0.47721995965439806,13735,8394,20932,13735
"('AthAar', 'OFd')",26270,12560,13710,26270,0.47811191473163306,13710,8369,20929,13710
"('ChiCru', 'OFd')",28546,14411,14135,28546,0.504834302529251,14135,6339,20750,14135
"('ChiTar', 'OFd')",28522,11859,16663,28522,0.415784306850852,16663,8867,20726,16663
"('ChiAar', 'OFd')",28515,11945,16570,28515,0.41890233210590916,16570,8774,20719,16570
"('CruTar', 'OFd')",26849,12395,14454,26849,0.46165592759506874,14454,8319,20714,14454
"('CruAar', 'OFd')",26855,12451,14404,26855,0.4636380562278905,14404,8269,20720,14404
"('TarAar', 'OFd')",24919,10218,14701,24919,0.41004855732573536,14701,7554,17772,14701
"('AthChi', 'OFm')",26378,14972,11406,26378,0.567594207293957,11406,5865,20837,11406
"('AthCru', 'OFm')",26394,15535,10859,26394,0.5885807380465258,10859,5318,20853,10859
"('AthTar', 'OFm')",26380,12520,13860,26380,0.4746019711902957,13860,8319,20839,13860
"('AthAar', 'OFm')",26376,12527,13849,26376,0.474939338792842,13849,8308,20835,13849
"('ChiCru', 'OFm')",28611,14412,14199,28611,0.5037223445527944,14199,6135,20547,14199
"('ChiTar', 'OFm')",28596,11883,16713,28596,0.4155476290390264,16713,8649,20532,16713
"('ChiAar', 'OFm')",28609,11924,16685,28609,0.4167919186270055,16685,8621,20545,16685
"('CruTar', 'OFm')",26961,12393,14568,26961,0.45966395905196394,14568,8170,20563,14568
"('CruAar', 'OFm')",26972,12425,14547,26972,0.4606629096841169,14547,8149,20574,14547
"('TarAar', 'OFm')",24989,10182,14807,24989,0.407459282084117,14807,7493,17675,14807
"('AthChi', 'ON')",26476,12640,13836,26476,0.4774135065719897,13836,6583,19223,13836
"('AthCru', 'ON')",26479,13035,13444,26479,0.49227689867442126,13444,6191,19226,13444
"('AthTar', 'ON')",26476,10853,15623,26476,0.40991841667925666,15623,8370,19223,15623
"('AthAar', 'ON')",26473,10961,15512,26473,0.4140444981679447,15512,8259,19220,15512
"('ChiCru', 'ON')",29185,12016,17169,29185,0.4117183484666781,17169,6906,18922,17169
"('ChiTar', 'ON')",29185,10102,19083,29185,0.34613671406544455,19083,8820,18922,19083
"('ChiAar', 'ON')",29185,10239,18946,29185,0.35083090628747643,18946,8683,18922,18946
"('CruTar', 'ON')",27027,10731,16296,27027,0.39704739704739705,16296,8337,19068,16296
"('CruAar', 'ON')",27027,10871,16156,27027,0.4022274022274022,16156,8197,19068,16156
"('TarAar', 'ON')",25707,9105,16602,25707,0.35418368537752365,16602,7679,16784,16602
"('AthChi', 'SPd')",24794,15867,8927,24794,0.639953214487376,8927,5954,21821,8927
"('AthCru', 'SPd')",24841,16521,8320,24841,0.6650698442091704,8320,5347,21868,8320
"('AthTar', 'SPd')",24679,13307,11372,24679,0.5392033712873293,11372,8399,21706,11372
"('AthAar', 'SPd')",24631,13155,11476,24631,0.5340830660549714,11476,8503,21658,11476
"('ChiCru', 'SPd')",24050,15545,8505,24050,0.6463617463617464,8505,6063,21608,8505
"('ChiTar', 'SPd')",23937,12813,11124,23937,0.53528011028951,11124,8682,21495,11124
"('ChiAar', 'SPd')",23797,12720,11077,23797,0.534521158129176,11077,8635,21355,11077
"('CruTar', 'SPd')",24707,13200,11507,24707,0.5342615453110454,11507,8190,21390,11507
"('CruAar', 'SPd')",24669,13042,11627,24669,0.5286797194859946,11627,8310,21352,11627
"('TarAar', 'SPd')",20102,11087,9015,20102,0.5515371604815441,9015,7040,18127,9015
"('AthChi', 'SPm')",24826,15917,8909,24826,0.6411423507612987,8909,5940,21857,8909
"('AthCru', 'SPm')",24874,16565,8309,24874,0.6659564203586074,8309,5340,21905,8309
"('AthTar', 'SPm')",24721,13351,11370,24721,0.5400671493871607,11370,8401,21752,11370
"('AthAar', 'SPm')",24664,13203,11461,24664,0.5353146286084982,11461,8492,21695,11461
"('ChiCru', 'SPm')",24022,15604,8418,24022,0.6495712263758222,8418,6028,21632,8418
"('ChiTar', 'SPm')",23920,12857,11063,23920,0.5375,11063,8673,21530,11063
"('ChiAar', 'SPm')",23780,12761,11019,23780,0.5366274179983179,11019,8629,21390,11019
"('CruTar', 'SPm')",24697,13248,11449,24697,0.5364214277037697,11449,8186,21434,11449
"('CruAar', 'SPm')",24655,13090,11565,24655,0.53092678969783,11565,8302,21392,11565
"('TarAar', 'SPm')",20106,11106,9000,20106,0.5523724261414503,9000,7044,18150,9000
"('AthChi', 'BR')",25680,15110,10570,25680,0.5883956386292835,10573,6037,21147,10573
"('AthCru', 'BR')",25704,15722,9982,25704,0.6116557734204793,9985,5449,21171,9985
"('AthTar', 'BR')",25621,12901,12720,25621,0.5035322586940401,12723,8187,21088,12723
"('AthAar', 'BR')",25603,12611,12992,25603,0.4925594656876147,12995,8459,21070,12995
"('ChiCru', 'BR')",26765,14502,12263,26765,0.5418270128899683,12263,6415,20917,12263
"('ChiTar', 'BR')",26676,12099,14577,26676,0.4535537561853351,14577,8729,20828,14577
"('ChiAar', 'BR')",26642,11903,14739,26642,0.44677576758501614,14739,8891,20794,14739
"('CruTar', 'BR')",26052,12773,13279,26052,0.49028865346230616,13280,8089,20862,13280
"('CruAar', 'BR')",26032,12524,13508,26032,0.481100184388445,13508,8317,20841,13508
"('TarAar', 'BR')",22414,10761,11653,22414,0.4801017221379495,11671,7347,18108,11671
